categoria,descricao,ean,preco,titulo,url
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Geladeiras com Freezer,FROST FREE | BRANCA | 435L | 2 PORTAS | TOP FREEZER | Economia de 27% de energia | ECONAVI*: até +10% de economia | Biodesodorizador | OBS: *Exclusividade Panasonic,,,Geladeira Panasonic Frost Free 435L Aço Escovado NR-BT50BD3XA 110V,https://www.amazon.com.br/Refrigerador-Panasonic-Frost-Free-Escovado/dp/B07JH7WZX6
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Frigobares,Recursos:,,"R$1.313,99","Geladeira para carro de 12 volts, geladeira pequena compacta com alimentação AC/DC, freezer para carro, capacidade para levar em movimento, para carro, trailer, camping e uso doméstico",https://www.amazon.com.br/Geladeira-geladeira-alimenta%C3%A7%C3%A3o-capacidade-movimento/dp/B09QX1G4WW
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Geladeiras com Freezer,"A nova Geladeira Electrolux Frost Free DF44 é perfeita para quem busca um refrigerador que deixa a vida mais prática. Com a tecnologia frost free você nunca mais vai precisar se preocupar em descongelar o freezer. Tem um freezer amplo de 112 litros, o maior do segmento de top freezer combinados frost free até 400 litros, possuindo o tamanho ideal para guardar alimentos e embalagens de tamanhos e formatos variados. Possui ainda painel digital, prateleiras em vidro temperado e gavetão para frutas e legumes para melhor organização.",,"R$3.299,00",Geladeira Top Freezer 402L Branco (DF44) 127V/60HZ,https://www.amazon.com.br/Geladeira-Refrigerador-Frost-free-Litros/dp/B07TLFCH19
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Geladeiras para Bebida,"Características do Produto Tipo: Expositor de Bebidas Controlador de Temperatura: Mecânico, Regulável(0°C a 5°C) Iluminação Interna: LED Branco Porta: Vidro Duplo (LOW-E) Aquecimento da Porta: Não Puxador da Porta: Plástico Abertura da Porta: Esquerda para Direita Trava de Abastecimento: Não Degelo: Natural Dreno: Traseiro Recipiente de Degelo: Sim Prateleiras: 4 Reguláveis Evaporador: Ar Forçado Sistema de Refrigeração: Compressor Gás Refrigerante: R134a Pés: Reguláveis Gabinete Interno: PSAI Gabinete Externo: Aço Revestido com Pintura Eletrostática Capacidade de Armazenamento: Lata 350ml: 302 / 473ml: 224 / Garrafa 600ml: 84 / 1L: 60 / 2L: 34 Marca: Venax Especificações Técnicas Tensão: 127 ou 220V – Não é Bivolt (selecione na hora compra) Frequência: 60Hz Isolamento Térmico: Poliuretano Etiquetas: Inmetro Garantia: 1 Ano Potência: 260W Volume Líquido: 300L",7898291107538,"R$3.499,00",EXPOSITORA DE BEBIDAS VV 300L BRANCO 220 V,https://www.amazon.com.br/EXPOSITORA-BEBIDAS-300L-BRANCO-220/dp/B077BYJKX6
Eletrodomésticos/Geladeiras e Freezers/Freezers,Descrição do produto:,0783268345242,"R$805,99","Homyl Frigorífico pequeno, refrigeração e aquecimento de para bebidas automáticas ao ar livre",https://www.amazon.com.br/Homyl-Frigor%C3%ADfico-refrigera%C3%A7%C3%A3o-aquecimento-autom%C3%A1ticas/dp/B0B2M64QRS
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Geladeiras com Freezer,"Quando se pensa em uma geladeira moderna, sempre direcionamos nossa decisão de compra para aquelas opções eficientes e que economizam energia. O modelo de geladeira Electrolux Frost free Inverter IF55 veio para atender às suas exigências. O maior freezer do segmento com 128 litros* armazena alimentos de tamanhos e formatos variados rapidamente, mantendo sua alimentação sempre saudável. Esta geladeira Electrolux conta com a tecnologia Inverter que consiste no refrigerador atingir a temperatura necessária com maior eficiência, reduzindo em até 45% o consumo de energia**. Isso demonstra a responsabilidade da Electrolux em se preocupar com o meio ambiente e em economia para seus clientes. O compartimento para produção de gelo Ice Max, possui um exclusivo sistema sem respingos e sem mistura de odores. Fácil de remover, ele é muito prático de usar e serve com eficiência todos os seus familiares e convidados. Essa geladeira Frost free conta ainda com a gaveta hortinatura, que preserva frutas e verduras em até 60% mais tempo***, se comparado com equipamentos que possuem gavetas comuns. ***Teste aferido em folhas verdes. (*) Maior freezer do segmento top freezer combinado frost free até 500 litros conforme tabela de eficiência energética de 19/10/2018 PBE (Programa Brasileiro de Etiquetagem) (**) Com relação ao mínimo necessário para a classificação A determinada pelo PBE (programa Brasileiro de Etiquetagem) Tecnologia inverter A tecnologia Inverter da Electrolux faz com que o refrigerador atinja a temperatura necessária com maior eficiência, reduzindo em até 45% o consumo de energia. *Em relação ao mínimo para classificação A do Inmetro. Prateleiras reversíveis e retráteis no freezer e no refrigerador Adapte o espaço interno para guardar os mais diversos tipo de embalagens e alimentos. Turbo freezer e drink express Compartimento de congelamento rápido para alimentos e bebidas. Icemax Compartimen",,,Geladeira/Refrigerador Inverter Top Freezer 431L Branco (IF55) 220V,https://www.amazon.com.br/Refrigerador-Inverter-IF55-431-litros/dp/B07SHV941X
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Geladeiras com Freezer,,,"R$15.989,00",Geladeira Brastemp Frost Free Side Inverse 540 litros Vitreous - GRO80AB - 220V,https://www.amazon.com.br/Geladeira-Brastemp-Inverse-litros-Vitreous/dp/B07N1538XJ
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Frigobares,"A linha Danby Designer de geladeiras compactas é dedicada a ser bem construída, fácil manutenção e conveniente. O modelo DAR044A4BSLDD-6 possui 4,4 cu. (124 L) de capacidade de refrigeração, tornando-a a geladeira perfeita para espaços como dormitórios, bares molhados, salas de recreação, recanto, oficinas e lounges. Prateleira de porta integrada com armazenamento alto de garrafa facilita armazenar todas as suas bebidas e lanches adicionais. Os acessórios podem ser armazenados na bancada resistente a riscos e não há necessidade de descongelar a unidade, pois é feito automaticamente. Este aparelho também vem com um termostato mecânico e oferece 2,5 prateleiras de arame fortes para máxima versatilidade de armazenamento e circulação de ar frio ideal. Tanto os usuários destros quanto canhotos vão adorar o conveniente balanço reversível da porta e a maçaneta integrada. Esta mini geladeira é projetada para se misturar perfeitamente com qualquer estilo de decoração.",,,"Danby DAR044A4BSLDD-6 Mini geladeira de 11 litros, compacta para todos os tipos de geladeira para quarto, sala de estar, bar, dormitório, cozinha em aço inoxidável",https://www.amazon.com.br/Danby-DAR044A4BSLDD-6-geladeira-dormit%C3%B3rio-inoxid%C3%A1vel/dp/B07TL6CDHG
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Frigobares,Modelos aplicáveis: carro ,,"R$3.848,28","Ljyutihg Geladeira de carro bx 8 litros, elétrica fria e portátil, mini geladeira, modo.",https://www.amazon.com.br/Ljyutihg-Geladeira-el%C3%A9trica-port%C3%A1til-geladeira/dp/B08XQ565R6
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Geladeiras para Bebida,Esta Mini Geladeira é fantástica! Funciona tanto no 12 volts do carro quanto na tomada de sua casa.,,"R$412,90",Mini Geladeira Portátil Multilaser 4 litros Veicular e Doméstica - 12v e 110v- Tv009,https://www.amazon.com.br/Geladeira-Port%C3%A1til-Multilaser-Veicular-Dom%C3%A9stica/dp/B01EVK4OHO
